kanji	katakana	meaning	
襟	えり	neck, collar	 MediaMissing 
エレガント	エレガント	elegant	 MediaMissing 
円滑	えんかつ	harmony, smoothness	 MediaMissing 
縁側	えんがわ	veranda, porch, balcony, open corridor	 MediaMissing 
沿岸	えんがん	coast, shore	 MediaMissing 
婉曲	えんきょく	euphemistic, indirect, insinuating	 MediaMissing 
演出	えんしゅつ	production (erg. play, direction)	 MediaMissing 
エンジニア	エンジニア	engineer	 MediaMissing 
演じる	えんじる	to perform, to play (a part), to act	 MediaMissing 
演ずる	えんずる	to perform, to play (a part), to act	 MediaMissing 
沿線	えんせん	along railway line	 MediaMissing 
縁談	えんだん	marriage proposal	 MediaMissing 
遠方	えんぽう	long way, distant place	 MediaMissing 
円満	えんまん	harmony, peace, smoothness	 MediaMissing 
追い込む	おいこむ	to herd, to corner, to drive	 MediaMissing 
追い出す	おいだす	to expel, to drive out	 MediaMissing 
於いて	おいて	at, in, on	 MediaMissing 
老いる	おいる	to age, to grow old	 MediaMissing 
応急	おうきゅう	emergency	 MediaMissing 
黄金	おうごん	gold	 MediaMissing 
往診	おうしん	doctor's visit, house call	 MediaMissing 
応募	おうぼ	subscription, application	 MediaMissing 
おおい (かん)	おおい (かん)	hey	 MediaMissing 
大方	おおかた	almost all, majority	 MediaMissing 
大柄	おおがら	large build, large pattern	 MediaMissing 
おおげさ	おおげさ	grandiose, exaggerated	 MediaMissing 
大筋	おおすじ	outline, summary	 MediaMissing 
大空	おおぞら	heaven, the sky	 MediaMissing 
オートマチック	オートマチック	automatic	 MediaMissing 
大幅	おおはば	full width, large scale, drastic	  MediaMissing
おおまかな	おおまかな	rough, approximate	 MediaMissing 
大水	おおみず	flood	 MediaMissing 
公	おおやけ	public	 MediaMissing 
犯す	おかす	to perpetrate, to violate	 MediaMissing 
侵す	おかす	to invade, to raid, to trespass	 MediaMissing 
臆病	おくびょう	cowardice, timidity	 MediaMissing 
遅らす	おくらす	to retard, to delay	 MediaMissing 
厳か	おごそか	majestic, dignified	 MediaMissing 
行い	おこない	conduct, behavior, action	 MediaMissing 
おごる (ゆうしょくを～)	おごる (ゆうしょくを～)	to give (someone) a treat	 MediaMissing 
収まる	おさまる	to settle into; to be obtained	 MediaMissing 
納まる	おさまる	to settle into; to be obtained	 MediaMissing 
治まる	おさまる	to be at peace, to calm down	 MediaMissing 
お産	おさん	(giving) birth	 MediaMissing 
押し切る	おしきる	to have one's own way	 MediaMissing 
押し込む	おしこむ	to push into, to crowd into	 MediaMissing 
惜しむ	おしむ	to be frugal, to value, to regret	 MediaMissing 
押し寄せる	おしよせる	to push aside, to advance on	 MediaMissing 
雄	おす	male (animal)	 MediaMissing 
御世辞	おせじ	flattery, compliment	 MediaMissing 
襲う	おそう	to attack	 MediaMissing 
遅くとも	おそくとも	at the latest	 MediaMissing 
恐れ	おそれ	fear, horror	 MediaMissing 
恐れ入る	おそれいる	to be filled with awe, to feel small	 MediaMissing 
おだてる	おだてる	to flatter	 MediaMissing 
落ち込む	おちこむ	to get depressed	 Genki_Ln.16  MediaMissing Genki
落ち着き	おちつき	calm, composure	 MediaMissing 
落葉	おちば	fallen leaves	 MediaMissing 
乙	おつ	2nd in rank	 MediaMissing 
お使い	おつかい	errand	 MediaMissing 
おっかない	おっかない	frightening, scary	 MediaMissing 
お手上げ	おてあげ	given in, given up hope	 MediaMissing 
おどおど	おどおど	coweringly, hesitantly	 MediaMissing 
脅す	おどす	to threaten, to menace	 MediaMissing 
訪れる	おとずれる	to visit	 MediaMissing 
お供	おとも	attendant, companion	 MediaMissing 
衰える	おとろえる	to become weak, to decline	 MediaMissing 
同い年	おないどし	of the same age	 MediaMissing 
自ずから	おのずから	naturally, as a matter of course	 MediaMissing 
怯える	おびえる	to become frightened	 MediaMissing 
おびただしい	おびただしい	abundantly, innumerably	 MediaMissing 
脅かす	おびやかす	to threaten, to coerce	 MediaMissing 
帯びる	おびる	to bear, to carry, to be entrusted	 MediaMissing 
お袋	おふくろ	mother	 MediaMissing 
覚え	おぼえ	memory, sense, experience	 MediaMissing 
おまけ	おまけ	a discount; something additional	 MediaMissing 
お宮	おみや	Shinto shrine	 MediaMissing 
おむつ	おむつ	diaper, nappy	 MediaMissing 
思い付き	おもいつき	plan, idea, suggestion	 MediaMissing 
趣	おもむき	flavor, appearance, quaint	 MediaMissing 
赴く	おもむく	to go, to proceed	 MediaMissing 
重んじる	おもんじる	to respect, to honor, to esteem, to prize	 MediaMissing 
重んずる	おもんずる	to honor, to respect, to value	 MediaMissing 
親父	おやじ	one's father, old man, one's boss	 MediaMissing 
及び	および	and, as well as	 MediaMissing 
及ぶ	およぶ	to reach, to extend	 MediaMissing 
折	おり	chance, occasion	 MediaMissing 
檻	おり	cage, pen, jail cell	 MediaMissing 
オリエンテーション	オリエンテーション	orientation	 MediaMissing 
折り返す	おりかえす	to turn up, to fold back	 MediaMissing 
織物	おりもの	textile, fabric	 MediaMissing 
俺	おれ	I (ego) (boastful first-person pronoun)	 MediaMissing 
愚か	おろか	foolish, stupid	 MediaMissing 
おろそか	おろそか	neglect, negligence, carelessness	 MediaMissing 
おんぶ	おんぶ	carrying on one's back (erg. Baby)	 MediaMissing 
オンライン	オンライン	on-line	 MediaMissing 
温和	おんわ	gentle, mild, moderate	 MediaMissing 
我	が～	ego	 MediaMissing 
カーペット	カーペット	carpet	 MediaMissing 
～界	～かい	world, circle, kingdom	 MediaMissing 
～街	～がい	town	 MediaMissing 
改悪	かいあく	deterioration, changing for the worse	 MediaMissing 
海運	かいうん	marine transportation	 MediaMissing 
外貨	がいか	foreign money	 MediaMissing 
改革	かいかく	reform, reformation, innovation	 MediaMissing 
貝殻	かいがら	shell	 MediaMissing 
外観	がいかん	appearance, exterior, facade	 MediaMissing 
階級	かいきゅう	class, rank, grade	 MediaMissing 
海峡	かいきょう	channel	 MediaMissing 
会見	かいけん	interview, conference	 MediaMissing 
介護	かいご	nursing	 MediaMissing 
開催	かいさい	holding a meeting, open an exhibition	 MediaMissing 
回収	かいしゅう	collection, recovery	 MediaMissing 
改修	かいしゅう	repair, improvement	 MediaMissing 
怪獣	かいじゅう	monster	 MediaMissing 
解除	かいじょ	cancellation, release, cancel	 MediaMissing 
外相	がいしょう	Foreign Minister	 MediaMissing 
害する	がいする	to harm, to offend	 MediaMissing 
概説	がいせつ	general statement, outline	 MediaMissing 
回送	かいそう	forwarding	 MediaMissing 
階層	かいそう	class, level, stratum, hierarchy	 MediaMissing 
開拓	かいたく	cultivation, pioneer	 MediaMissing 
会談	かいだん	conversation, interview	 MediaMissing 
改定	かいてい	reform	 MediaMissing 
改訂	かいてい	revision	 MediaMissing 
ガイド	ガイド	guide	 MediaMissing 
街道	かいどう	highway	 MediaMissing 
該当	がいとう	corresponding, answering to, coming under	 MediaMissing 
街頭	がいとう	in the street	 MediaMissing 
ガイドブック	ガイドブック	guidebook	 MediaMissing 
介入	かいにゅう	intervention	 MediaMissing 
概念	がいねん	general idea, concept, notion	 MediaMissing 
開発	かいはつ	development, exploitation	 MediaMissing 
海抜	かいばつ	height above sea level	 MediaMissing 
介抱	かいほう	nursing, looking after	 MediaMissing 
解剖	かいぼう	dissection, autopsy	 MediaMissing 
外来	がいらい	(abbr.) imported, outpatient clinic	 MediaMissing 
回覧	かいらん	circulation	 MediaMissing 
概略	がいりゃく	outline, summary, gist	 MediaMissing 
海流	かいりゅう	ocean current	 MediaMissing 
改良	かいりょう	improvement, reform	 MediaMissing 
回路	かいろ	circuit (electric)	 MediaMissing 
海路	かいろ	sea route	 MediaMissing 
省みる	かえりみる	to reflect	 MediaMissing 
顧みる	かえりみる	to look back, to turn around, to review	 MediaMissing 
顔付き	かおつき	facial expression	 MediaMissing 
課外	かがい	extracurricular	 MediaMissing 
掲げる	かかげる	to hoist, to fly (a sail), to float (a flag)	 MediaMissing 
かかと	かかと	shoe heel	 MediaMissing 
書き取る	かきとる	to write down, to take dictation	 MediaMissing 
掻き回す	かきまわす	to stir up, to churn, to disturb	 MediaMissing 
かく (はじを)	かく (はじを)	to humiliate oneself	 MediaMissing 
～画	～かく	~ strokes	 MediaMissing 
学芸	がくげい	arts and sciences, liberal arts	 MediaMissing 
格差	かくさ	difference, disparity	 MediaMissing 
拡散	かくさん	scattering, diffusion	 MediaMissing 
学士	がくし	university graduate	 MediaMissing 
各種	かくしゅ	every kind, all sorts	 MediaMissing 
隔週	かくしゅう	every other week	 MediaMissing 
確信	かくしん	conviction, confidence	 MediaMissing 
革新	かくしん	reform, innovation	 MediaMissing 
学説	がくせつ	theory	 MediaMissing 
確定	かくてい	fixed, decision	 MediaMissing 
カクテル	カクテル	cocktail	 MediaMissing 
獲得	かくとく	acquisition, possession	 MediaMissing 
楽譜	がくふ	score (music, sheet music)	 MediaMissing 
確保	かくほ	guarantee, insure, secure	 MediaMissing 
革命	かくめい	revolution	 MediaMissing 
確立	かくりつ	establishment	 MediaMissing 
賭	かけ	betting, gambling, a gamble	 MediaMissing 
掛～	かけ～	credit	 MediaMissing 
～掛け	～かけ	rack, hanger	 MediaMissing 
崖	がけ	cliff	 MediaMissing 
駆け足	かけあし	running fast, double time	 MediaMissing 
家計	かけい	household economy, family finances	 MediaMissing 
駆けっこ	かけっこ	(foot) race	 MediaMissing 
加工	かこう	manufacturing, processing, treatment	 MediaMissing 
化合	かごう	chemical combination	 MediaMissing 
かさばる	かさばる	to be bulky	 MediaMissing 
かさむ	かさむ	to pile up, to increase	 MediaMissing 
箇条書	かじょうがき	itemized form, itemization	 MediaMissing 
頭	かしら	head, chief	 MediaMissing 
微か	かすか	faint, dim, weak	 MediaMissing 
霞む	かすむ	to grow hazy, to be misty	 MediaMissing 
擦る	かする	to rub, to chafe	 MediaMissing 
火星	かせい	Mars	 MediaMissing 
化石	かせき	fossil, petrifaction, fossilization	 MediaMissing 
河川	かせん	rivers	 MediaMissing 
化繊	かせん	synthetic fibers	 MediaMissing 
過疎	かそ	depopulation	 MediaMissing 
片～	かた～	single ~	 MediaMissing 
片言	かたこと	broken (in reference to speaking style, e.g., Japanese)	 MediaMissing  Intermediate_Japanese_Ln.13 Intermediate_Japanese
傾ける	かたむける	to incline, to tilt, to bend	 MediaMissing 
固める	かためる	to harden, to freeze, to fortify	 MediaMissing 
傍ら	かたわら	beside(s, while, nearby	 MediaMissing 
花壇	かだん	flower bed	 MediaMissing 
家畜	かちく	domestic animals, livestock, cattle	 MediaMissing 
且つ	かつ	yet, and	 MediaMissing 
がっくり	がっくり	heartbroken	 MediaMissing 
合唱	がっしょう	chorus, singing in a chorus	 MediaMissing 
がっしり	がっしり	firmly, solidly, tough	 MediaMissing 
合致	がっち	agreement, concurrence, conforming to	 MediaMissing 
がっちり	がっちり	solidly built, tightly	 MediaMissing 
かつて	かつて	once, before, formerly	 MediaMissing 
勝手	かって	kitchen; one's way, selfishness	 MediaMissing 
カット	カット	cut, cutting	 MediaMissing 
活発	かっぱつ	vigor, active	 MediaMissing 
合併	がっぺい	combination, amalgamation, merger	 MediaMissing 
カテゴリー	カテゴリー	category	 MediaMissing 
叶う	かなう	to come true	 MediaMissing 
叶える	かなえる	to grant (request, wish)	 MediaMissing 
金槌	かなづち	(iron) hammer	 MediaMissing 
かなわない	かなわない	be beyond one's power, be unable	 MediaMissing 
加入	かにゅう	becoming a member, admission	 MediaMissing 
予て	かねて	previously, already, lately	 MediaMissing 
庇う	かばう	to protect someone, to&nbsp;&nbsp;cover up for someone	 MediaMissing 
株式	かぶしき	stock	 MediaMissing 
かぶれる	かぶれる	to react to; to be influenced by	 MediaMissing 
花粉	かふん	pollen	 MediaMissing 
貨幣	かへい	money, currency, coinage	 MediaMissing 
構える	かまえる	to set up	 MediaMissing 
過密	かみつ	crowded	 MediaMissing 
噛み切る	かみきる	to bite off, to gnaw through	 MediaMissing 
カムバック	カムバック	comeback	 MediaMissing 
カメラマン	カメラマン	cameraman	 MediaMissing 
粥	かゆ	rice porridge	 MediaMissing 
体付き	からだつき	body build, figure	 MediaMissing 
絡む	からむ	to entangle, to entwine	 MediaMissing 
かりに	かりに	temporarily; if, for argument's sake	 MediaMissing 
カルテ	カルテ	clinical records (GER: Karte)	 MediaMissing 
ガレージ	ガレージ	garage (at house)	 MediaMissing 
過労	かろう	overwork, strain	 MediaMissing 
かろうじて	かろうじて	barely, narrowly	 MediaMissing 
交す	かわす	to exchange	 MediaMissing 
代る代る	かわるがわる	alternately	 MediaMissing 
簡易	かんい	simplicity, easiness, quasi-	 MediaMissing 
灌漑	かんがい	irrigation	 MediaMissing 
眼科	がんか	ophthalmology	 MediaMissing 
眼球	がんきゅう	eyeball	 MediaMissing 
玩具	がんぐ	toy	 MediaMissing 
簡潔	かんけつ	brevity, concise, simple	 MediaMissing 
還元	かんげん	resolution, reduction, return	 MediaMissing 
看護	かんご	nursing	 MediaMissing 
漢語	かんご	Chinese word, Sino-Japanese word	 MediaMissing 
頑固	がんこ	stubbornness, obstinacy	 MediaMissing 
勧告	かんこく	advice, counsel	 MediaMissing 
換算	かんさん	conversion, change, exchange	 MediaMissing 
監視	かんし	observation, guarding, surveillance	 MediaMissing 
慣習	かんしゅう	usual (historical) custom	 MediaMissing 
観衆	かんしゅう	spectators, audience	 MediaMissing 
願書	がんしょ	application form	 MediaMissing 
干渉	かんしょう	interference, intervention	 MediaMissing 
頑丈	がんじょう	solid, firm, strong	 MediaMissing 
感触	かんしょく	sense of touch, feeling, sensation	 MediaMissing 
肝心	かんじん	essential, fundamental, crucial	 MediaMissing 
肝腎	かんじん	essential, fundamental, crucial	 MediaMissing 
関税	かんぜい	customs, duty, tariff	 MediaMissing 
岩石	がんせき	rock	 MediaMissing 
感染	かんせん	infection, contagion	 MediaMissing 
幹線	かんせん	main line, trunk line	 MediaMissing 
簡素	かんそ	simplicity, plain	 MediaMissing 
観点	かんてん	point of view	 MediaMissing 
感度	かんど	sensitivity, severity (quake)	 MediaMissing 
カンニング	カンニング	cunning, cheat	 MediaMissing 
元年	がんねん	first year (of a specific reign)	 MediaMissing 
幹部	かんぶ	management, executive	 MediaMissing 
完ぺき	かんぺき	perfection, completeness, flawless	 MediaMissing 
勘弁	かんべん	pardon, forgiveness, forbearance	 MediaMissing 
感無量	かんむりょう	deep feeling, filled with emotion	 MediaMissing 
勧誘	かんゆう	invitation, canvassing, inducement	 Intermediate_Japanese_Ln.5  MediaMissing Intermediate_Japanese
関与	かんよ	participation, taking part in	 MediaMissing 
寛容	かんよう	forbearance, tolerance, generosity, involvement	 MediaMissing 
元来	がんらい	originally, naturally	 MediaMissing 
観覧	かんらん	viewing	 MediaMissing 
慣例	かんれい	custom, precedent, of convention	 MediaMissing 
還暦	かんれき	60th birthday	 MediaMissing 
貫禄	かんろく	presence, dignity	 MediaMissing 
緩和	かんわ	relief, mitigation	 MediaMissing 
議案	ぎあん	legislative bill	 MediaMissing 
危害	きがい	injury, harm, danger	 MediaMissing 
企画	きかく	planning, project	 MediaMissing Intermediate_Japanese_Ln.14  Intermediate_Japanese
規格	きかく	standard, norm	 MediaMissing 
着飾る	きかざる	to dress up	 MediaMissing 
気兼ね	きがね	hesitance, diffidence, feeling constraint	 MediaMissing 
気軽	きがる	cheerful, buoyant, lighthearted	 MediaMissing 
危機	きき	crisis	 MediaMissing 
聞き取り	ききとり	listening comprehension	 MediaMissing 
効き目	ききめ	effect, virtue, efficacy	 MediaMissing 
帰京	ききょう	returning to Tokyo	 MediaMissing 
戯曲	ぎきょく	play, drama	 MediaMissing 
基金	ききん	fund, foundation	 MediaMissing 
喜劇	きげき	comedy, funny show	 MediaMissing 
議決	ぎけつ	resolution, decision, vote	 MediaMissing 
棄権	きけん	abstain from voting, renunciation of a right	 MediaMissing 
既婚	きこん	married	 MediaMissing 
気障	きざ	affectation, conceit, snobbery	 MediaMissing 
記載	きさい	mention, entry	 MediaMissing 
兆	きざし	sign, omen, indication	 MediaMissing 
気質	きしつ	character, trait, temperament	 MediaMissing 
期日	きじつ	fixed date, settlement date	 MediaMissing 
きしむ	きしむ	to jar, to creak, to grate	 MediaMissing 
議事堂	ぎじどう	Diet building	 MediaMissing 
記述	きじゅつ	describing, descriptor	 MediaMissing 
気象	きしょう	weather, climate	 MediaMissing 
傷付く	きずつく	to be hurt, to be wounded, to get injured	 MediaMissing 
傷付ける	きずつける	to wound, to hurt someone's feelings	 MediaMissing 
犠牲	ぎせい	sacrifice	 MediaMissing 
汽船	きせん	steamship	 MediaMissing 
寄贈	きぞう	donation, presentation	 MediaMissing 
偽造	ぎぞう	forgery, fabrication, counterfeiting	 MediaMissing 
貴族	きぞく	noble, aristocrat	 MediaMissing 
議題	ぎだい	topic of discussion, agenda	 MediaMissing 
鍛える	きたえる	to forge, to train, to discipline	 MediaMissing 
気立て	きだて	good-natured, kind-hearted	 MediaMissing 
来る	きたる	to come, to approach,	 MediaMissing 
きちっと	きちっと	exactly, perfectly	 MediaMissing 
几帳面	きちょうめん	methodical, punctual, steady	 MediaMissing 
きっかり	きっかり	exactly, precisely	 MediaMissing 
